questionId,title,difficulty,dislikes,likes,nAccepted,nSubmissions,accRate,topicTags,similarQuestions
1444,Number of Ways of Cutting a Pizza,Hard,8,338,9.1K,16.9K,54.2%,"['Array', 'Dynamic Programming', 'Matrix', 'Memoization']",[]
1445,Apples & Oranges,Medium,13,90,17K,18.6K,91.3%,['Database'],[]
1446,Consecutive Characters,Easy,16,601,75.3K,123.1K,61.2%,['String'],"[('Count Number of Homogenous Substrings', 'Medium'), ('Max Consecutive Ones', 'Easy')]"
1447,Simplified Fractions,Medium,29,166,16.6K,26.4K,62.8%,['Math'],[]
1448,Count Good Nodes in Binary Tree,Medium,43,1041,67.2K,93.3K,72.0%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']",[]
1449,Form Largest Integer With Digits That Add up to Target,Hard,6,376,9.9K,21.9K,45.3%,"['Array', 'Dynamic Programming']",[]
1450,Number of Students Doing Homework at a Given Time,Easy,108,428,69.5K,90.6K,76.7%,['Array'],[]
1451,Rearrange Words in a Sentence,Medium,56,335,30.8K,50.8K,60.6%,"['Sorting', 'String']",[]
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,Medium,173,184,15.9K,28.7K,55.5%,"['Array', 'Hash Table', 'String']",[]
1453,Maximum Number of Darts Inside of a Circular Dartboard,Hard,219,96,4.1K,11.3K,36.0%,"['Array', 'Geometry', 'Math']",[]
1454,Active Users,Medium,22,187,14.1K,36.4K,38.7%,['Database'],[]
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy,13,359,39.3K,60.8K,64.7%,"['String', 'String Matching']",[]
1456,Maximum Number of Vowels in a Substring of Given Length,Medium,27,488,32.9K,59K,55.8%,"['Sliding Window', 'String']",[]
1457,Pseudo-Palindromic Paths in a Binary Tree,Medium,25,756,43.6K,63.4K,68.8%,"['Binary Tree', 'Bit Manipulation', 'Breadth-First Search', 'Depth-First Search', 'Tree']",[]
1458,Max Dot Product of Two Subsequences,Hard,10,455,13.7K,31.2K,43.8%,"['Array', 'Dynamic Programming']",[]
1459,Rectangles Area,Medium,61,38,6.1K,9.1K,66.4%,['Database'],[]
1460,Make Two Arrays Equal by Reversing Sub-arrays,Easy,85,447,59.2K,81.9K,72.3%,"['Array', 'Hash Table', 'Sorting']",[]
1461,Check If a String Contains All Binary Codes of Size K,Medium,64,572,42.8K,78.9K,54.3%,"['Bit Manipulation', 'Hash Function', 'Hash Table', 'Rolling Hash', 'String']",[]
1462,Course Schedule IV,Medium,42,445,20.6K,44.4K,46.4%,"['Breadth-First Search', 'Depth-First Search', 'Graph', 'Topological Sort']",[]
1463,Cherry Pickup II,Hard,11,852,28.9K,42.1K,68.6%,"['Array', 'Dynamic Programming', 'Matrix']",[]
1464,Maximum Product of Two Elements in an Array,Easy,96,540,91.5K,118.7K,77.1%,"['Array', 'Heap (Priority Queue)', 'Sorting']",[]
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,180,711,66.1K,180.5K,36.6%,"['Array', 'Greedy', 'Sorting']",[]
1466,Reorder Routes to Make All Paths Lead to the City Zero,Medium,24,802,33.2K,53.9K,61.6%,"['Breadth-First Search', 'Depth-First Search', 'Graph']",[]
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,Hard,126,165,5.2K,8.6K,60.7%,"['Backtracking', 'Combinatorics', 'Dynamic Programming', 'Math', 'Probability and Statistics']",[]
1468,Calculate Salaries,Medium,10,52,9.6K,11.6K,82.4%,['Database'],[]
1469,Find All The Lonely Nodes,Easy,5,252,20.8K,25.7K,80.8%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Binary Tree Tilt', 'Easy'), ('Univalued Binary Tree', 'Easy')]"
1470,Shuffle the Array,Easy,142,1369,232.6K,264.1K,88.1%,['Array'],[]
1471,The k Strongest Values in an Array,Medium,77,297,23.2K,39.4K,58.9%,"['Array', 'Sorting', 'Two Pointers']",[]
1472,Design Browser History,Medium,69,581,42.2K,58.1K,72.6%,"['Array', 'Data Stream', 'Design', 'Doubly-Linked List', 'Linked List', 'Stack']",[]
1473,Paint House III,Hard,20,375,9.6K,19.6K,49.1%,"['Array', 'Dynamic Programming']",[]
1474,Delete N Nodes After M Nodes of a Linked List,Easy,6,203,13.2K,18K,73.6%,['Linked List'],"[('Remove Nth Node From End of List', 'Medium'), ('Remove Zero Sum Consecutive Nodes from Linked List', 'Medium')]"
1475,Final Prices With a Special Discount in a Shop,Easy,43,567,50.8K,67.8K,74.8%,"['Array', 'Monotonic Stack', 'Stack']",[]
1476,Subrectangle Queries,Medium,660,240,49.6K,56.4K,87.9%,"['Array', 'Design', 'Matrix']",[]
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,Medium,48,837,27.4K,76.7K,35.7%,"['Array', 'Binary Search', 'Dynamic Programming', 'Hash Table', 'Sliding Window']",[]
1478,Allocate Mailboxes,Hard,8,494,10.3K,19.1K,54.2%,"['Array', 'Dynamic Programming', 'Math', 'Sorting']",[]
1479,Sales by Day of the Week,Hard,22,67,8.8K,10.7K,82.9%,['Database'],[]
1480,Running Sum of 1d Array,Easy,147,1637,393.6K,442.9K,88.9%,"['Array', 'Prefix Sum']",[]
1481,Least Number of Unique Integers after K Removals,Medium,45,433,36.9K,65.7K,56.2%,"['Array', 'Counting', 'Greedy', 'Hash Table', 'Sorting']",[]
1482,Minimum Number of Days to Make m Bouquets,Medium,25,992,24.2K,46.1K,52.4%,"['Array', 'Binary Search']",[]
1483,Kth Ancestor of a Tree Node,Hard,64,593,14.4K,43.6K,33.0%,"['Binary Search', 'Breadth-First Search', 'Depth-First Search', 'Design', 'Dynamic Programming', 'Tree']",[]
1484,Group Sold Products By The Date,Easy,7,137,13.4K,15.7K,85.0%,['Database'],[]
1485,Clone Binary Tree With Random Pointer,Medium,34,173,9.9K,12.4K,79.6%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Hash Table', 'Tree']","[('Clone Graph', 'Medium'), ('Clone N-ary Tree', 'Medium'), ('Copy List with Random Pointer', 'Medium')]"
1486,XOR Operation in an Array,Easy,242,565,98.3K,117.1K,83.9%,"['Bit Manipulation', 'Math']",[]
1487,Making File Names Unique,Medium,394,246,15.5K,48.4K,32.0%,"['Array', 'Hash Table', 'String']",[]
1488,Avoid Flood in The City,Medium,144,658,18K,73.1K,24.6%,"['Array', 'Binary Search', 'Greedy', 'Hash Table', 'Heap (Priority Queue)']",[]
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Hard,34,270,5K,9.7K,51.7%,"['Graph', 'Minimum Spanning Tree', 'Sorting', 'Strongly Connected Component', 'Union Find']",[]
1490,Clone N-ary Tree,Medium,12,171,10.8K,13K,83.0%,"['Breadth-First Search', 'Depth-First Search', 'Hash Table', 'Tree']","[('Clone Binary Tree With Random Pointer', 'Medium'), ('Clone Graph', 'Medium'), ('Copy List with Random Pointer', 'Medium')]"
1491,Average Salary Excluding the Minimum and Maximum Salary,Easy,63,329,50.5K,74.4K,67.9%,"['Array', 'Sorting']",[]
1492,The kth Factor of n,Medium,145,363,49.6K,78.8K,62.9%,['Math'],[]
1494,Parallel Courses II,Hard,34,410,7.3K,23.5K,30.8%,"['Bit Manipulation', 'Bitmask', 'Dynamic Programming', 'Graph']","[('Parallel Courses', 'Medium')]"
1495,Friendly Movies Streamed Last Month,Easy,5,37,11.1K,21.7K,51.0%,['Database'],[]
1496,Path Crossing,Easy,7,359,28.1K,51.1K,55.1%,"['Hash Table', 'String']",[]
1497,Check If Array Pairs Are Divisible by k,Medium,47,545,22.2K,55.1K,40.3%,"['Array', 'Counting', 'Hash Table']",[]
1498,Number of Subsequences That Satisfy the Given Sum Condition,Medium,67,683,19.1K,48.7K,39.2%,"['Array', 'Binary Search', 'Sorting', 'Two Pointers']",[]
1499,Max Value of Equation,Hard,19,478,17.7K,38.6K,45.7%,"['Array', 'Heap (Priority Queue)', 'Monotonic Queue', 'Queue', 'Sliding Window']","[('Count Pairs in Two Arrays', 'Medium')]"
1500,Design a File Sharing System,Medium,66,28,2.2K,4.7K,46.5%,"['Data Stream', 'Design', 'Hash Table', 'Heap (Priority Queue)']","[('Design Twitter', 'Medium')]"
1501,Countries You Can Safely Invest In,Medium,15,87,8.6K,14.3K,60.0%,['Database'],"[('Average Salary: Departments VS Company', 'Hard')]"
1502,Can Make Arithmetic Progression From Sequence,Easy,33,404,53.9K,76.7K,70.3%,"['Array', 'Sorting']","[('Arithmetic Subarrays', 'Medium')]"
1503,Last Moment Before All Ants Fall Out of a Plank,Medium,157,255,13K,24.2K,53.8%,"['Array', 'Brainteaser', 'Simulation']",[]
1504,Count Submatrices With All Ones,Medium,77,1031,25.6K,42.2K,60.7%,"['Array', 'Dynamic Programming', 'Matrix', 'Monotonic Stack', 'Stack']",[]
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,Hard,14,240,6K,16.4K,36.4%,"['Binary Indexed Tree', 'Greedy', 'Segment Tree', 'String']",[]
1506,Find Root of N-Ary Tree,Medium,90,255,15.6K,19.7K,79.5%,"['Bit Manipulation', 'Depth-First Search', 'Hash Table', 'Tree']","[('Move Sub-Tree of N-Ary Tree', 'Hard')]"
1507,Reformat Date,Easy,229,151,23.4K,38.8K,60.4%,['String'],[]
1508,Range Sum of Sorted Subarray Sums,Medium,70,354,18.9K,31.7K,59.8%,"['Array', 'Binary Search', 'Sorting', 'Two Pointers']",[]
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,Medium,61,501,23.6K,42.2K,56.0%,"['Array', 'Greedy', 'Sorting']",[]
1510,Stone Game IV,Hard,27,457,28.9K,48.8K,59.2%,"['Dynamic Programming', 'Game Theory', 'Math']","[('Stone Game V', 'Hard'), ('Stone Game VI', 'Medium'), ('Stone Game VII', 'Medium'), ('Stone Game VIII', 'Hard')]"
1511,Customer Order Frequency,Easy,22,140,13.6K,18.4K,74.2%,['Database'],[]
1512,Number of Good Pairs,Easy,113,1416,199.5K,227.8K,87.6%,"['Array', 'Counting', 'Hash Table', 'Math']",[]
1513,Number of Substrings With Only 1s,Medium,17,350,23K,53.9K,42.6%,"['Math', 'String']","[('Count Number of Homogenous Substrings', 'Medium')]"
1514,Path with Maximum Probability,Medium,17,683,23.6K,55.8K,42.3%,"['Graph', 'Heap (Priority Queue)', 'Shortest Path']",[]
1515,Best Position for a Service Centre,Hard,167,126,7.5K,19K,39.5%,"['Geometry', 'Math', 'Randomized']",[]
1516,Move Sub-Tree of N-Ary Tree,Hard,28,17,1.3K,2K,64.5%,"['Depth-First Search', 'Tree']","[('Find Root of N-Ary Tree', 'Medium')]"
1517,Find Users With Valid E-Mails,Easy,38,68,12.8K,17.9K,71.4%,['Database'],[]
1518,Water Bottles,Easy,43,519,39.1K,64.7K,60.3%,"['Math', 'Simulation']",[]
1519,Number of Nodes in the Sub-Tree With the Same Label,Medium,272,277,13K,34.2K,38.0%,"['Breadth-First Search', 'Depth-First Search', 'Tree']",[]
1520,Maximum Number of Non-Overlapping Substrings,Hard,48,362,8.9K,24.2K,37.0%,"['Greedy', 'String']",[]
1521,Find a Value of a Mysterious Function Closest to Target,Hard,8,219,6.5K,14.7K,44.0%,"['Array', 'Binary Search', 'Bit Manipulation', 'Segment Tree']",[]
1522,Diameter of N-Ary Tree,Medium,2,197,10.8K,15.3K,70.5%,"['Depth-First Search', 'Tree']","[('Diameter of Binary Tree', 'Easy')]"
1523,Count Odd Numbers in an Interval Range,Easy,26,238,25.8K,47.8K,54.0%,['Math'],[]
1524,Number of Sub-arrays With Odd Sum,Medium,18,445,14.9K,36.4K,41.0%,"['Array', 'Dynamic Programming', 'Math', 'Prefix Sum']",[]
1525,Number of Good Ways to Split a String,Medium,17,623,31.8K,46K,69.1%,"['Bit Manipulation', 'Dynamic Programming', 'String']",[]
1526,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,31,455,13.3K,20.6K,64.5%,"['Array', 'Dynamic Programming', 'Greedy', 'Monotonic Stack', 'Stack']",[]
1527,Patients With a Condition,Easy,66,26,10.9K,18.9K,57.7%,['Database'],[]
1528,Shuffle String,Easy,187,715,129.9K,151.5K,85.7%,"['Array', 'String']",[]
1529,Bulb Switcher IV,Medium,22,453,25.4K,35.4K,71.6%,"['Greedy', 'String']",[]
1530,Number of Good Leaf Nodes Pairs,Medium,15,765,18.3K,31.8K,57.5%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
1531,String Compression II,Hard,32,324,7.1K,20.4K,34.6%,"['Dynamic Programming', 'String']",[]
1532,The Most Recent Three Orders,Medium,2,60,9.2K,12.8K,72.0%,['Database'],"[('The Most Recent Orders for Each Product', 'Medium')]"
1533,Find the Index of the Large Integer,Medium,8,58,2.5K,4.7K,54.0%,"['Array', 'Binary Search', 'Interactive']","[('Search in a Sorted Array of Unknown Size', 'Medium')]"
1534,Count Good Triplets,Easy,686,286,57.9K,72.1K,80.3%,"['Array', 'Enumeration']",[]
1535,Find the Winner of an Array Game,Medium,24,370,20.9K,43.3K,48.2%,"['Array', 'Simulation']",[]
1536,Minimum Swaps to Arrange a Binary Grid,Medium,54,311,9.3K,21K,44.2%,"['Array', 'Greedy', 'Matrix']",[]
1537,Get the Maximum Score,Hard,26,373,11.2K,30.1K,37.2%,"['Array', 'Dynamic Programming', 'Greedy', 'Two Pointers']",[]
1538,Guess the Majority in a Hidden Array,Medium,20,48,954,1.5K,61.6%,"['Array', 'Interactive', 'Math']",[]
1539,Kth Missing Positive Number,Easy,73,1185,93.2K,170.3K,54.7%,"['Array', 'Binary Search']",[]
1540,Can Convert String in K Moves,Medium,179,233,11.2K,35.3K,31.7%,"['Hash Table', 'String']",[]
1541,Minimum Insertions to Balance a Parentheses String,Medium,80,378,14.6K,32.6K,44.7%,"['Greedy', 'Stack', 'String']",[]
1542,Find Longest Awesome Substring,Hard,8,377,6.8K,17.5K,38.5%,"['Bit Manipulation', 'Hash Table', 'String']",[]
1543,Fix Product Name Format,Easy,21,37,8.3K,12.7K,65.4%,['Database'],[]
1544,Make The String Great,Easy,45,501,36.6K,65.7K,55.7%,"['Stack', 'String']",[]
1545,Find Kth Bit in Nth Binary String,Medium,22,253,16.6K,28.6K,58.0%,"['Recursion', 'String']",[]
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Medium,11,553,15.1K,33.6K,44.8%,"['Array', 'Greedy', 'Hash Table', 'Prefix Sum']",[]
1547,Minimum Cost to Cut a Stick,Hard,10,592,13.4K,25K,53.7%,"['Array', 'Dynamic Programming']",[]
1548,The Most Similar Path in a Graph,Hard,89,183,8K,14.4K,55.8%,"['Dynamic Programming', 'Graph']",[]
1549,The Most Recent Orders for Each Product,Medium,3,39,8K,11.8K,67.4%,['Database'],"[('The Most Frequently Ordered Products for Each Customer', 'Medium'), ('The Most Recent Three Orders', 'Medium')]"
1550,Three Consecutive Odds,Easy,39,253,39K,60.9K,64.1%,['Array'],[]
1551,Minimum Operations to Make Array Equal,Medium,103,560,53.6K,66.5K,80.5%,['Math'],[]
1552,Magnetic Force Between Two Balls,Medium,62,653,15.7K,31K,50.7%,"['Array', 'Binary Search', 'Sorting']",[]
1553,Minimum Number of Days to Eat N Oranges,Hard,37,466,16.9K,54.4K,31.0%,"['Dynamic Programming', 'Memoization']",[]
1554,Strings Differ by One Character,Medium,1,78,3K,4.6K,64.3%,"['Hash Function', 'Hash Table', 'Rolling Hash', 'String']",[]
1555,Bank Account Summary,Medium,13,59,6.7K,12.4K,53.5%,['Database'],[]
1556,Thousand Separator,Easy,8,238,25.3K,44.3K,57.0%,['String'],[]
1557,Minimum Number of Vertices to Reach All Nodes,Medium,48,733,33.2K,43.5K,76.2%,['Graph'],[]
1558,Minimum Numbers of Function Calls to Make Target Array,Medium,16,285,12.3K,19.4K,63.4%,"['Array', 'Greedy']",[]
1559,Detect Cycles in 2D Grid,Hard,9,318,11.2K,24.7K,45.2%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix', 'Union Find']",[]
1560,Most Visited Sector in  a Circular Track,Easy,333,144,16.8K,29.1K,57.5%,"['Array', 'Simulation']",[]
1561,Maximum Number of Coins You Can Get,Medium,61,326,29.8K,38.6K,77.3%,"['Array', 'Game Theory', 'Greedy', 'Math', 'Sorting']",[]
1562,Find Latest Group of Size M,Medium,80,356,10.5K,26.3K,40.0%,"['Array', 'Binary Search', 'Simulation']",[]
1563,Stone Game V,Hard,51,249,9.8K,24.4K,40.1%,"['Array', 'Dynamic Programming', 'Game Theory', 'Math']","[('Stone Game', 'Medium'), ('Stone Game II', 'Medium'), ('Stone Game III', 'Hard'), ('Stone Game IV', 'Hard'), ('Stone Game VI', 'Medium'), ('Stone Game VII', 'Medium'), ('Stone Game VIII', 'Hard')]"
1564,Put Boxes Into the Warehouse I,Medium,15,182,8.7K,13.5K,64.3%,"['Array', 'Greedy', 'Sorting']","[('Put Boxes Into the Warehouse II', 'Medium')]"
1565,Unique Orders and Customers Per Month,Easy,15,38,9.2K,11.1K,82.9%,['Database'],[]
1566,Detect Pattern of Length M Repeated K or More Times,Easy,55,364,19.2K,44.6K,43.1%,"['Array', 'Enumeration']","[('Maximum Repeating Substring', 'Easy')]"
1567,Maximum Length of Subarray With Positive Product,Medium,7,464,14.8K,39.1K,37.9%,"['Array', 'Dynamic Programming', 'Greedy']",[]
1568,Minimum Number of Days to Disconnect Island,Hard,102,218,6.2K,12.4K,50.0%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix', 'Strongly Connected Component']",[]
1569,Number of Ways to Reorder Array to Get Same BST,Hard,34,240,6.5K,13K,50.0%,"['Array', 'Binary Search Tree', 'Binary Tree', 'Combinatorics', 'Divide and Conquer', 'Dynamic Programming', 'Math', 'Memoization', 'Tree', 'Union Find']",[]
1570,Dot Product of Two Sparse Vectors,Medium,46,321,53.5K,58.8K,91.0%,"['Array', 'Design', 'Hash Table', 'Two Pointers']",[]
1571,Warehouse Manager,Easy,6,62,13.2K,14.7K,89.7%,['Database'],[]
1572,Matrix Diagonal Sum,Easy,12,569,60.6K,77.6K,78.1%,"['Array', 'Matrix']",[]
1573,Number of Ways to Split a String,Medium,47,299,13.8K,44K,31.3%,"['Math', 'String']","[('Split Array with Equal Sum', 'Medium')]"
1574,Shortest Subarray to be Removed to Make Array Sorted,Medium,19,649,12.8K,37.2K,34.3%,"['Array', 'Binary Search', 'Monotonic Stack', 'Stack', 'Two Pointers']",[]
1575,Count All Possible Routes,Hard,12,254,7.4K,12.8K,57.4%,"['Array', 'Dynamic Programming', 'Memoization']",[]
1576,Replace All ?'s to Avoid Consecutive Repeating Characters,Easy,119,273,33.4K,66.2K,50.4%,['String'],[]
1577,Number of Ways Where Square of Number Is Equal to Product of Two Numbers,Medium,38,167,12.7K,33.1K,38.4%,"['Array', 'Hash Table', 'Math', 'Two Pointers']",[]
1578,Minimum Deletion Cost to Avoid Repeating Letters,Medium,25,513,35.6K,58.3K,61.1%,"['Array', 'Dynamic Programming', 'Greedy', 'String']",[]
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,Hard,3,353,7.5K,16K,46.9%,"['Graph', 'Union Find']",[]
1580,Put Boxes Into the Warehouse II,Medium,1,107,2.3K,3.6K,63.6%,"['Array', 'Greedy', 'Sorting']","[('Put Boxes Into the Warehouse I', 'Medium')]"
1581,Customer Who Visited but Did Not Make Any Transactions,Easy,18,48,12.5K,14K,89.4%,['Database'],"[('Sellers With No Sales', 'Easy')]"
1582,Special Positions in a Binary Matrix,Easy,13,290,24.1K,37.5K,64.2%,"['Array', 'Matrix']",[]
1583,Count Unhappy Friends,Medium,449,119,11.9K,21.5K,55.2%,"['Array', 'Simulation']",[]
1584,Min Cost to Connect All Points,Medium,29,529,18.9K,33.8K,55.8%,"['Array', 'Minimum Spanning Tree', 'Union Find']",[]
1585,Check If String Is Transformable With Substring Sort Operations,Hard,4,266,5.1K,10.5K,48.4%,"['Greedy', 'Sorting', 'String']",[]
1586,Binary Search Tree Iterator II,Medium,12,97,4.2K,6.3K,66.7%,"['Binary Search Tree', 'Binary Tree', 'Design', 'Iterator', 'Stack', 'Tree']","[('Binary Search Tree Iterator', 'Medium')]"
1587,Bank Account Summary II,Easy,2,51,13.8K,15.4K,89.9%,['Database'],[]
1588,Sum of All Odd Length Subarrays,Easy,105,1025,55.9K,68.3K,81.8%,"['Array', 'Prefix Sum']",[]
1589,Maximum Sum Obtained of Any Permutation,Medium,20,357,9.2K,25.8K,35.7%,"['Array', 'Greedy', 'Prefix Sum', 'Sorting']",[]
1590,Make Sum Divisible by P,Medium,28,606,11.4K,41.8K,27.4%,"['Array', 'Hash Table', 'Prefix Sum']","[('Subarray Sums Divisible by K', 'Medium')]"
1591,Strange Printer II,Hard,7,211,4K,7.2K,55.7%,"['Array', 'Graph', 'Matrix', 'Topological Sort']","[('Strange Printer', 'Hard')]"
1592,Rearrange Spaces Between Words,Easy,162,170,22.6K,51.7K,43.6%,['String'],"[('Text Justification', 'Hard')]"
1593,Split a String Into the Max Number of Unique Substrings,Medium,13,368,13.8K,27.2K,50.9%,"['Backtracking', 'Hash Table', 'String']",[]
1594,Maximum Non Negative Product in a Matrix,Medium,21,373,13K,39.9K,32.7%,"['Array', 'Dynamic Programming', 'Matrix']",[]
1595,Minimum Cost to Connect Two Groups of Points,Hard,9,245,4.9K,11.1K,44.1%,"['Array', 'Bit Manipulation', 'Bitmask', 'Dynamic Programming', 'Matrix']",[]
1596,The Most Frequently Ordered Products for Each Customer,Medium,7,94,11.4K,13.4K,85.3%,['Database'],"[('The Most Recent Orders for Each Product', 'Medium')]"
1597,Build Binary Expression Tree From Infix Expression,Hard,20,95,3.9K,6.6K,59.2%,"['Binary Tree', 'Stack', 'String', 'Tree']","[('Basic Calculator III', 'Hard'), ('Check If Two Expression Trees are Equivalent', 'Medium')]"
1598,Crawler Log Folder,Easy,24,288,27K,42.2K,63.9%,"['Array', 'Stack', 'String']","[('Backspace String Compare', 'Easy'), ('Baseball Game', 'Easy')]"
1599,Maximum Profit of Operating a Centennial Wheel,Medium,191,56,8.7K,19.8K,43.8%,"['Array', 'Simulation']",[]
1600,Throne Inheritance,Medium,197,129,9.3K,15.2K,61.6%,"['Depth-First Search', 'Design', 'Hash Table', 'Tree']",[]
1601,Maximum Number of Achievable Transfer Requests,Hard,25,187,6.1K,12.7K,48.4%,"['Bit Manipulation', 'Enumeration']",[]
1602,Find Nearest Right Node in Binary Tree,Medium,2,173,10.9K,14.8K,73.5%,"['Binary Tree', 'Breadth-First Search', 'Tree']",[]
1603,Design Parking System,Easy,190,369,73.2K,84.7K,86.5%,"['Counting', 'Design', 'Simulation']",[]
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,168,96,8.8K,20.1K,43.9%,"['Array', 'Hash Table', 'Sorting', 'String']",[]
1605,Find Valid Matrix Given Row and Column Sums,Medium,22,556,15.6K,20K,77.8%,"['Array', 'Greedy', 'Matrix']","[('Reconstruct a 2-Row Binary Matrix', 'Medium')]"
1606,Find Servers That Handled Most Number of Requests,Hard,8,211,4.5K,11.7K,38.2%,"['Array', 'Greedy', 'Heap (Priority Queue)', 'Ordered Set']",[]
1607,Sellers With No Sales,Easy,6,30,7.8K,14.2K,55.0%,['Database'],"[('Customer Who Visited but Did Not Make Any Transactions', 'Easy')]"
1608,Special Array With X Elements Greater Than or Equal X,Easy,53,309,22.3K,36.3K,61.5%,"['Array', 'Binary Search', 'Sorting']",[]
1609,Even Odd Tree,Medium,27,365,21.3K,40.8K,52.3%,"['Binary Tree', 'Breadth-First Search', 'Tree']",[]
1610,Maximum Number of Visible Points,Hard,269,200,11.5K,35.1K,32.8%,"['Array', 'Geometry', 'Math', 'Sliding Window', 'Sorting']",[]
1611,Minimum One Bit Operations to Make Integers Zero,Hard,130,184,5K,8.5K,59.3%,"['Bit Manipulation', 'Dynamic Programming', 'Memoization']",[]
1612,Check If Two Expression Trees are Equivalent,Medium,13,73,3.4K,4.9K,70.1%,"['Binary Tree', 'Depth-First Search', 'Tree']","[('Build Binary Expression Tree From Infix Expression', 'Hard')]"
1613,Find the Missing IDs,Medium,10,78,5.9K,7.8K,75.4%,['Database'],"[('Find the Start and End Number of Continuous Ranges', 'Medium'), ('Number of Transactions per Visit', 'Hard'), ('Report Contiguous Dates', 'Hard')]"
1614,Maximum Nesting Depth of the Parentheses,Easy,109,436,49.8K,60.3K,82.6%,"['Stack', 'String']","[('Maximum Nesting Depth of Two Valid Parentheses Strings', 'Medium')]"
1615,Maximal Network Rank,Medium,71,330,20.9K,38.5K,54.2%,['Graph'],[]
1616,Split Two Strings to Make Palindrome,Medium,172,358,13.1K,42.4K,30.9%,"['Greedy', 'String', 'Two Pointers']",[]
1617,Count Subtrees With Max Distance Between Cities,Hard,24,185,4.7K,7.3K,63.9%,"['Bit Manipulation', 'Bitmask', 'Dynamic Programming', 'Enumeration', 'Tree']","[('Tree Diameter', 'Medium')]"
1618,Maximum Font to Fit a Sentence in a Screen,Medium,8,57,2.8K,4.9K,57.7%,"['Array', 'Binary Search', 'Interactive', 'String']",[]
1619,Mean of Array After Removing Some Elements,Easy,51,168,21.4K,33.2K,64.6%,"['Array', 'Sorting']",[]
1620,Coordinate With Maximum Network Quality,Medium,159,48,5.4K,14.6K,37.0%,"['Array', 'Enumeration']",[]
1621,Number of Sets of K Non-Overlapping Line Segments,Medium,25,230,5.2K,12.3K,41.9%,"['Dynamic Programming', 'Math']",[]
1622,Fancy Sequence,Hard,66,194,4.9K,33K,14.7%,"['Design', 'Math', 'Segment Tree']",[]
1623,All Valid Triplets That Can Represent a Country,Easy,54,34,8.3K,9.3K,88.8%,['Database'],[]
1624,Largest Substring Between Two Equal Characters,Easy,15,260,22.5K,38.3K,58.7%,"['Hash Table', 'String']",[]
1625,Lexicographically Smallest String After Applying Operations,Medium,198,165,8.3K,12.7K,65.3%,"['Breadth-First Search', 'String']",[]
1626,Best Team With No Conflicts,Medium,21,516,13.1K,33.1K,39.5%,"['Array', 'Dynamic Programming', 'Sorting']",[]
1627,Graph Connectivity With Threshold,Hard,20,191,6.9K,16.7K,41.3%,"['Array', 'Math', 'Union Find']",[]
1628,Design an Expression Tree With Evaluate Function,Medium,29,136,5.6K,6.9K,81.1%,"['Binary Tree', 'Design', 'Math', 'Stack', 'Tree']",[]
1629,Slowest Key,Easy,49,256,37.5K,63.6K,59.0%,"['Array', 'String']",[]
1630,Arithmetic Subarrays,Medium,40,284,20.2K,26.1K,77.4%,"['Array', 'Sorting']","[('Arithmetic Slices', 'Medium'), ('Can Make Arithmetic Progression From Sequence', 'Easy')]"
1631,Path With Minimum Effort,Medium,68,1374,49.3K,98K,50.3%,"['Array', 'Binary Search', 'Breadth-First Search', 'Depth-First Search', 'Heap (Priority Queue)', 'Matrix', 'Union Find']","[('Path With Maximum Minimum Value', 'Medium'), ('Swim in Rising Water', 'Hard')]"
1632,Rank Transform of a Matrix,Hard,7,229,3.9K,12.2K,32.2%,"['Array', 'Graph', 'Greedy', 'Matrix', 'Topological Sort', 'Union Find']","[('Rank Transform of an Array', 'Easy')]"
1633,Percentage of Users Attended a Contest,Easy,6,28,6.7K,9.5K,70.8%,['Database'],"[('Queries Quality and Percentage', 'Easy')]"
1634,Add Two Polynomials Represented as Linked Lists,Medium,2,47,2.6K,4.9K,52.5%,"['Linked List', 'Math', 'Two Pointers']","[('Add Two Numbers', 'Medium'), ('Add Two Numbers II', 'Medium'), ('Merge Two Sorted Lists', 'Easy')]"
1635,Hopper Company Queries I,Hard,17,40,3.1K,5.5K,56.7%,['Database'],"[('Hopper Company Queries II', 'Hard'), ('Hopper Company Queries III', 'Hard'), ('Trips and Users', 'Hard')]"
